query,date,rank
tested,2020-06-29,2137
tested,2020-06-30,1480
tested,2020-07-01,1441
tested,2020-07-02,1437
tested,2020-07-03,1551
tested,2020-07-04,1159
tested,2020-07-05,1555
tested,2020-07-06,869
tested,2020-07-07,1102
tested,2020-07-08,1316
tested,2020-07-09,1038
tested,2020-07-10,1316
tested,2020-07-11,529
tested,2020-07-12,641
tested,2020-07-13,745
tested,2020-07-14,716
tested,2020-07-15,831
tested,2020-07-16,1027
tested,2020-07-17,1178
tested,2020-07-18,1293
tested,2020-07-19,2238
tested,2020-07-20,1377
tested,2020-07-21,981
tested,2020-07-22,930
tested,2020-07-23,1884
tested,2020-07-24,2233
tested,2020-07-25,2153
tested,2020-07-26,3221
tested,2020-07-27,1102
tested,2020-07-28,2034
tested,2020-07-29,1093
tested,2020-07-30,1631
tested,2020-07-31,1907
tested,2020-08-01,953
tested,2020-08-02,926
tested,2020-08-03,1561
tested,2020-08-04,2308
tested,2020-08-05,1566
tested,2020-08-06,1309
tested,2020-08-07,1958
tested,2020-08-08,2988
tested,2020-08-09,2203
tested,2020-08-10,1284
tested,2020-08-11,1738
tested,2020-08-12,2343
tested,2020-08-13,2370
tested,2020-08-14,2298
tested,2020-08-15,3281.5
tested,2020-08-16,3907
tested,2020-08-17,2837.5
tested,2020-08-18,2656
tested,2020-08-19,2647
tested,2020-08-20,2351
tested,2020-08-21,3244.5
tested,2020-08-22,3253
tested,2020-08-23,2404
tested,2020-08-24,1609
tested,2020-08-25,2110
tested,2020-08-26,1904
tested,2020-08-27,2003
tested,2020-08-28,2388
tested,2020-08-29,1612
tested,2020-08-30,1960
tested,2020-08-31,3176
tested,2020-09-01,4218.5
tested,2020-09-02,2116
tested,2020-09-03,1161
tested,2020-09-04,1371
tested,2020-09-05,2172
tested,2020-09-06,2363
tested,2020-09-07,1667
tested,2020-09-08,2597
tested,2020-09-09,2699
tested,2020-09-10,2303
tested,2020-09-11,1841
tested,2020-09-12,1851
tested,2020-09-13,3114
tested,2020-09-14,2889.5
tested,2020-09-15,2628
tested,2020-09-16,1465
tested,2020-09-17,1654
tested,2020-09-18,2184.5
tested,2020-09-19,2559.5
tested,2020-09-20,2458
tested,2020-09-21,3094
tested,2020-09-22,2934
tested,2020-09-23,2917
tested,2020-09-24,913
tested,2020-09-25,2286
tested,2020-09-26,3494.5
tested,2020-09-27,2688
tested,2020-09-28,2024
tested,2020-09-29,2099
tested,2020-09-30,2114
tested,2020-10-01,1243
tested,2020-10-02,88
tested,2020-10-03,223
tested,2020-10-04,510
tested,2020-10-05,409
tested,2020-10-06,564
tested,2020-10-07,649
tested,2020-10-08,777
tested,2020-10-09,685
tested,2020-10-10,1056
tested,2020-10-11,1893
tested,2020-10-12,1495
tested,2020-10-13,1549
tested,2020-10-14,1799
tested,2020-10-15,1563
tested,2020-10-16,3108
