ngram,gterm,group,description,date,hits,keyword,geo,time,gprop,category
gym membership,gym membership,R,Incumbent resources,2018-04-15T00:00:00Z,42,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-04-22T00:00:00Z,36,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-04-29T00:00:00Z,44,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-05-06T00:00:00Z,51,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-05-13T00:00:00Z,54,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-05-20T00:00:00Z,52,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-05-27T00:00:00Z,56,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-06-03T00:00:00Z,49,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-06-10T00:00:00Z,66,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-06-17T00:00:00Z,47,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-06-24T00:00:00Z,55,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-07-01T00:00:00Z,53,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-07-08T00:00:00Z,60,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-07-15T00:00:00Z,52,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-07-22T00:00:00Z,56,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-07-29T00:00:00Z,48,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-08-05T00:00:00Z,56,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-08-12T00:00:00Z,51,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-08-19T00:00:00Z,55,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-08-26T00:00:00Z,53,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-09-02T00:00:00Z,50,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-09-09T00:00:00Z,44,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-09-16T00:00:00Z,43,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-09-23T00:00:00Z,46,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-09-30T00:00:00Z,39,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-10-07T00:00:00Z,35,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-10-14T00:00:00Z,44,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-10-21T00:00:00Z,44,gym membership,US,2018-01-01 2021-10-29,web,0
gym membership,gym membership,R,Incumbent resources,2018-10-28T00:00:00Z,50,gym membership,US,2018-01-01 2021-10-29,web,0
